	log2_avg_rpkm
group00891	12.8788750806
group00892	7.14709230056
group00893	7.6951245715
group00894	13.9554862116
group00895	13.2502847865
group00896	14.4616185144
group00898	0.0
group00902	8.47366049774
group00903	8.63878201565
group00904	8.20548063392
group00905	6.69677128371
group00906	12.5221067411
group00908	0.0
group00910	8.97258187941
group00911	7.06055235093
group00912	0.0
group00913	8.4081500957
group00915	8.18177319476
group00916	13.8019129769
group00917	0.0
group00922	0.0
group00923	10.4967070365
group00924	7.80095264232
group00925	0.0
group00929	6.6117750148
group00930	7.73512353593
group00931	7.47647663705
group00933	13.592149181
group00935	6.63679688468
group00936	7.17922439623
group00937	7.17483344938
group00938	0.0
group00939	7.6479818417
group00940	12.116815763
group00942	8.27466937616
group00944	14.1111430398
group00945	15.483115655
group00947	0.0
group00948	0.0
group00949	0.0
group00950	9.61793717927
group00951	0.0
group00952	8.12212750905
group00954	9.19725960398
group00955	0.0
group00956	0.0
group00960	0.0
group00961	7.95827534138
group00962	0.0
group00964	0.0
group00965	9.2055839222
group00969	11.8092677324
group00970	8.25278747327
group00972	6.73831456282
group00973	9.79546197203
group00975	9.06091497161
group00976	0.0
group00978	9.34888610736
group00979	0.0
group00981	7.20996866881
group00983	7.97664973732
group00984	0.0
group00985	7.58765031712
group00986	0.0
group00989	9.76924017656
group00995	6.88678490196
group00996	7.71380785498
group00997	8.24228444481
group00998	7.1823681601
group00999	7.83289860384
group01000	8.90394935713
group01003	7.43119638973
group01004	0.0
group01006	9.51302641793
group01007	0.0
group01008	7.46863563237
group01009	17.2998005261
group01010	0.0
group01012	0.0
group01016	8.52470203187
group01017	6.88905964873
group01018	8.29567449477
group01020	8.06074574526
group01021	0.0
group01022	9.36157288961
group01023	0.0
group01024	0.0
group01025	10.9238219764
group01026	0.0
group01028	7.44423092901
group01029	9.52393129493
group01030	0.0
group01032	10.9000834313
group01034	8.74211175034
group01036	7.59174824411
group01037	0.0
group01038	7.63955239518
group01039	9.73311259267
group01042	0.0
group01045	9.06649049614
group01046	0.0
group01047	0.0
group01048	0.0
group01049	0.0
group01052	0.0
group01055	10.7419356983
group01056	0.0
group01058	7.41563443209
group01059	0.0
group01060	7.45605573913
group01063	9.14182624591
group01066	7.83254341244
group01067	0.0
group01070	0.0
group01071	6.20775105383
group01072	0.0
group01073	0.0
group01074	0.0
group01075	8.85231247258
group01080	10.3176001556
group01082	9.96438884601
group01083	8.7957675704
group01085	7.5587336888
group01088	0.0
group01091	0.0
group01092	8.5831711596
group01093	7.55489336688
group01095	0.0
group01096	9.4801364088
group01097	7.29311605376
group01098	0.0
group01101	0.0
group01102	0.0
group01106	7.80487891471
group01107	6.01706105118
group01108	7.26091507571
group01109	0.0
group01110	0.0
group01111	0.0
group01114	0.0
group01118	0.0
group01119	0.0
group01120	0.0
group01121	10.3642162181
group01122	8.72827075842
group01123	10.1955512618
group01124	17.3937584615
group01125	0.0
group01126	7.83653067348
group01129	0.0
group01130	7.57143119305
group01132	0.0
group01137	0.0
group01139	9.64331870433
group01142	8.82452676801
group01143	0.0
group01144	0.0
group01147	0.0
group01149	11.4954887124
group01159	9.30644245991
group01161	0.0
group01162	10.2490335778
group01163	7.58427056667
group01164	0.0
group01166	0.0
group01168	0.0
group01169	11.1186845073
group01174	0.0
group01176	7.73273386112
group01181	0.0
group01183	0.0
group01184	0.0
group01185	7.46941207698
group01186	10.2818581541
group01188	0.0
group01189	17.6716613371
group01196	8.15599466084
group01199	6.63816952138
group01201	0.0
group01205	9.38010495033
group01208	10.0455037552
group01209	8.14008483819
group01210	9.27685778342
group01211	0.0
group01212	10.6711632112
group01215	7.98330723895
group01217	0.0
group01218	8.2589223784
group01221	11.3248977819
group01222	7.78819267718
group01223	4.59919050315
group01226	8.69913116078
group01230	14.8374590503
group01231	7.6761593979
group01235	8.19536672426
group01238	0.0
group01241	0.0
group01244	0.0
group01246	7.70318024167
group01248	0.0
group01251	0.0
group01256	0.0
group01262	8.11892964863
group01263	0.0
group01269	8.76296255274
group01271	6.94664364018
group01277	12.6047441532
group01278	9.68470450676
group01281	0.0
group01284	0.0
group01287	0.0
group01289	0.0
group01301	10.8588436736
group01307	7.66921415858
group01309	0.0
group01310	9.26125947644
group01315	0.0
group01316	6.7824727203
group01317	0.0
group01318	0.0
group01319	8.41245826243
group01320	7.18995527903
group01321	0.0
group01324	0.0
group01327	0.0
group01328	0.0
group01331	7.5550233966
group01333	10.6433409239
group01337	0.0
group01338	7.98111347439
group01343	0.0
group01345	8.7489103837
group01351	0.0
group01353	0.0
group01359	0.0
group01365	0.0
